item_id,order_id,user_id,product_name,category,brand,quantity,unit_price_sgd,line_total_sgd,on_promotion
I0000001,O000001,U0001,Dryer Sheets,Laundry,Dynamo,3,7.84,23.52,True
I0000002,O000001,U0001,Ironing Board Cover,Laundry,Downy,1,20.3,20.3,False
I0000003,O000001,U0001,Laundry Detergent,Laundry,Downy,2,13.24,26.48,False
I0000004,O000002,U0001,Laundry Detergent,Laundry,Breeze,1,17.73,17.73,True
I0000005,O000002,U0001,Fabric Softener,Laundry,Dynamo,2,19.0,38.0,False
I0000006,O000002,U0001,Laundry Bags,Laundry,Vanish,1,11.18,11.18,False
I0000007,O000002,U0001,Dishwasher Tablets,Kitchen Essentials,Scotch-Brite,3,15.03,45.09,False
I0000008,O000002,U0001,Laundry Bags,Laundry,Vanish,2,17.32,34.64,False
I0000009,O000003,U0001,Laundry Bags,Laundry,Breeze,3,23.98,71.94,False
I0000010,O000003,U0001,Clothespins,Laundry,Breeze,3,15.89,47.67,False
I0000011,O000004,U0001,Clothespins,Laundry,Vanish,3,8.35,25.05,False
I0000012,O000004,U0001,Laundry Bags,Laundry,Breeze,2,19.08,38.16,False
I0000013,O000004,U0001,Stain Remover,Laundry,Downy,1,4.44,4.44,True
I0000014,O000005,U0001,Drain Cleaner,Cleaning Supplies,Cif,2,3.92,7.84,True
I0000015,O000005,U0001,Ironing Board Cover,Laundry,Dynamo,1,19.62,19.62,False
I0000016,O000005,U0001,Mop,Cleaning Supplies,Mr Muscle,3,5.15,15.45,False
I0000017,O000005,U0001,Toothpaste,Toiletries and Personal Care,Pantene,1,18.83,18.83,False
I0000018,O000005,U0001,Stain Remover,Laundry,Dynamo,1,17.09,17.09,False
I0000019,O000005,U0001,Washing Machine Cleaner,Laundry,Breeze,3,23.47,70.41,False
I0000020,O000005,U0001,Stain Remover,Laundry,Attack,3,12.23,36.69,False
I0000021,O000006,U0001,Laundry Bags,Laundry,Vanish,2,14.18,28.36,False
I0000022,O000006,U0001,Clothespins,Laundry,Breeze,2,5.16,10.32,True
I0000023,O000006,U0001,Stain Remover,Laundry,Vanish,2,12.53,25.06,True
I0000024,O000006,U0001,Sanitary Pads,Baby and Family Care,Dettol,2,1.71,3.42,False
I0000025,O000006,U0001,Dryer Sheets,Laundry,Dynamo,3,10.28,30.84,False
I0000026,O000006,U0001,Ironing Board Cover,Laundry,Downy,1,18.3,18.3,False
I0000027,O000006,U0001,Shampoo,Toiletries and Personal Care,Colgate,1,11.42,11.42,True
I0000028,O000007,U0001,Baby Shampoo,Baby and Family Care,Johnson and Johnson,2,5.92,11.84,True
I0000029,O000007,U0001,Fabric Softener,Laundry,Breeze,3,12.14,36.42,False
I0000030,O000007,U0001,Clothespins,Laundry,Dynamo,1,2.67,2.67,False
I0000031,O000007,U0001,Fabric Softener,Laundry,Vanish,2,4.44,8.88,False
I0000032,O000007,U0001,Fabric Softener,Laundry,Downy,1,13.1,13.1,False
I0000033,O000007,U0001,Washing Machine Cleaner,Laundry,Vanish,2,17.88,35.76,True
I0000034,O000007,U0001,Stain Remover,Laundry,Dynamo,2,19.73,39.46,True
I0000035,O000008,U0002,Baby Powder,Baby and Family Care,Huggies,1,24.4,24.4,False
I0000036,O000008,U0002,Wet Wipes,Baby and Family Care,Mamypoko,3,24.87,74.61,True
I0000037,O000008,U0002,Mop,Cleaning Supplies,Giant Brand,3,24.58,73.74,False
I0000038,O000008,U0002,Toothpaste,Toiletries and Personal Care,Colgate,1,16.29,16.29,True
I0000039,O000009,U0002,Diapers,Baby and Family Care,Mamypoko,1,7.05,7.05,False
I0000040,O000009,U0002,Panty Liners,Baby and Family Care,Johnson and Johnson,3,4.31,12.93,False
I0000041,O000009,U0002,Diapers,Baby and Family Care,Kotex,3,12.67,38.01,False
I0000042,O000009,U0002,Baby Wipes,Baby and Family Care,Mamypoko,1,13.25,13.25,False
I0000043,O000010,U0002,Diapers,Baby and Family Care,Johnson and Johnson,3,5.12,15.36,False
I0000044,O000010,U0002,Wet Wipes,Baby and Family Care,Mamypoko,2,24.57,49.14,False
I0000045,O000010,U0002,Baby Shampoo,Baby and Family Care,Dettol,3,6.03,18.09,False
I0000046,O000010,U0002,Baby Shampoo,Baby and Family Care,Johnson and Johnson,1,12.9,12.9,False
I0000047,O000010,U0002,Sanitary Pads,Baby and Family Care,Dettol,1,14.82,14.82,False
I0000048,O000010,U0002,Wet Wipes,Baby and Family Care,Johnson and Johnson,3,22.99,68.97,False
I0000049,O000010,U0002,Baby Shampoo,Baby and Family Care,Dettol,2,20.76,41.52,False
I0000050,O000010,U0002,Panty Liners,Baby and Family Care,Kotex,2,18.74,37.48,False
I0000051,O000011,U0002,Ziplock Bags,Kitchen Essentials,3M,2,5.96,11.92,False
I0000052,O000011,U0002,Sponge,Cleaning Supplies,Giant Brand,2,9.08,18.16,False
I0000053,O000011,U0002,Hand Sanitiser,Baby and Family Care,Huggies,1,21.13,21.13,True
I0000054,O000011,U0002,Air Freshener,Cleaning Supplies,Dettol,2,6.0,12.0,True
I0000055,O000012,U0002,Body Wash,Toiletries and Personal Care,Dove,2,6.69,13.38,False
I0000056,O000012,U0002,Baby Lotion,Baby and Family Care,Dettol,1,12.5,12.5,False
I0000057,O000012,U0002,Sanitary Pads,Baby and Family Care,Dettol,2,20.16,40.32,True
I0000058,O000012,U0002,Hand Sanitiser,Baby and Family Care,Huggies,3,3.15,9.45,False
I0000059,O000012,U0002,Panty Liners,Baby and Family Care,Kotex,1,3.88,3.88,True
I0000060,O000012,U0002,Baby Lotion,Baby and Family Care,Kotex,3,7.35,22.05,False
I0000061,O000013,U0003,Scouring Pad,Kitchen Essentials,3M,2,17.35,34.7,False
I0000062,O000013,U0003,Dishwasher Tablets,Kitchen Essentials,Scotch-Brite,1,14.42,14.42,False
I0000063,O000013,U0003,Clothespins,Laundry,Attack,2,23.44,46.88,False
I0000064,O000013,U0003,Ziplock Bags,Kitchen Essentials,Glad,2,19.46,38.92,False
I0000065,O000013,U0003,Dishwasher Tablets,Kitchen Essentials,Scotch-Brite,3,14.32,42.96,False
I0000066,O000013,U0003,Bottle Brush,Kitchen Essentials,Glad,2,24.1,48.2,False
I0000067,O000013,U0003,Bottle Brush,Kitchen Essentials,Sunlight,2,15.5,31.0,False
I0000068,O000014,U0003,Ziplock Bags,Kitchen Essentials,Sunlight,3,20.82,62.46,False
I0000069,O000014,U0003,Dish Rack,Kitchen Essentials,3M,1,3.72,3.72,False
I0000070,O000014,U0003,Aluminium Foil,Kitchen Essentials,Glad,3,7.37,22.11,False
I0000071,O000015,U0003,Dish Rack,Kitchen Essentials,Sunlight,3,9.13,27.39,False
I0000072,O000015,U0003,Bottle Brush,Kitchen Essentials,3M,1,15.49,15.49,False
I0000073,O000015,U0003,Washing Machine Cleaner,Laundry,Breeze,1,19.83,19.83,False
I0000074,O000015,U0003,Rubber Bands,Kitchen Essentials,Giant Brand,1,21.94,21.94,True
I0000075,O000015,U0003,Dishwasher Tablets,Kitchen Essentials,Sunlight,3,19.77,59.31,False
I0000076,O000015,U0003,Dish Soap,Kitchen Essentials,Glad,3,14.78,44.34,False
I0000077,O000016,U0003,Cotton Buds,Toiletries and Personal Care,Nivea,3,13.36,40.08,True
I0000078,O000016,U0003,Rubber Bands,Kitchen Essentials,Scotch-Brite,1,9.4,9.4,False
I0000079,O000016,U0003,Ironing Board Cover,Laundry,Breeze,2,3.5,7.0,False
I0000080,O000016,U0003,Scrubbing Brush,Cleaning Supplies,Cif,2,14.64,29.28,False
I0000081,O000016,U0003,Air Freshener,Cleaning Supplies,Giant Brand,3,24.93,74.79,False
I0000082,O000016,U0003,Aluminium Foil,Kitchen Essentials,Giant Brand,2,17.59,35.18,False
I0000083,O000016,U0003,Rubber Bands,Kitchen Essentials,Giant Brand,2,9.69,19.38,False
I0000084,O000017,U0003,Candles,Kitchen Essentials,3M,1,11.85,11.85,False
I0000085,O000017,U0003,Scouring Pad,Kitchen Essentials,Glad,1,19.31,19.31,False
I0000086,O000017,U0003,Dish Soap,Kitchen Essentials,Scotch-Brite,3,23.28,69.84,False
I0000087,O000017,U0003,Floor Cleaner,Cleaning Supplies,Mr Muscle,3,20.4,61.2,False
I0000088,O000018,U0003,Cling Wrap,Kitchen Essentials,3M,3,19.13,57.39,False
I0000089,O000018,U0003,Kitchen Roll,Kitchen Essentials,Sunlight,2,15.2,30.4,False
I0000090,O000018,U0003,Kitchen Roll,Kitchen Essentials,Sunlight,2,6.22,12.44,False
I0000091,O000018,U0003,Candles,Kitchen Essentials,Sunlight,1,10.63,10.63,False
I0000092,O000018,U0003,Ziplock Bags,Kitchen Essentials,Glad,1,1.95,1.95,False
I0000093,O000018,U0003,Cling Wrap,Kitchen Essentials,Giant Brand,3,24.45,73.35,True
I0000094,O000018,U0003,Dish Rack,Kitchen Essentials,3M,1,5.88,5.88,False
